Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,22.86,24.00,22.52,22.67,237800,22.67
2015-01-14,21.63,23.14,21.07,22.88,111000,22.88
2015-01-13,21.05,22.19,20.97,21.29,163300,21.29
2015-01-12,21.16,21.30,20.75,21.05,34200,21.05
2015-01-09,21.51,21.93,20.97,21.26,29000,21.26
2015-01-08,21.48,21.87,21.05,21.49,104600,21.49
2015-01-07,20.45,21.40,19.89,21.30,61500,21.30
2015-01-06,21.41,21.73,19.26,20.38,65800,20.38
2015-01-05,21.38,21.70,20.66,21.22,44000,21.22
2015-01-02,21.06,21.64,20.80,21.31,30400,21.31
2014-12-31,21.54,22.19,20.90,21.02,57300,21.02
2014-12-30,21.03,22.06,20.96,21.49,1300,21.49
2014-12-29,21.68,22.23,20.74,21.00,63400,21.00
