Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,17.81,17.81,17.07,17.49,88300,17.49
2015-01-14,17.66,17.99,17.66,17.72,90900,17.72
2015-01-13,17.48,18.09,17.48,17.87,114000,17.87
2015-01-12,17.42,17.63,17.09,17.40,60600,17.40
2015-01-09,16.95,17.88,16.95,17.48,69100,17.48
2015-01-08,17.45,17.92,17.18,17.76,61400,17.76
2015-01-07,16.75,17.52,16.75,17.30,93700,17.30
2015-01-06,17.99,17.99,17.06,17.31,83000,17.31
2015-01-05,18.05,18.48,17.72,17.98,115800,17.98
2015-01-02,18.65,18.77,17.74,18.24,89200,18.24
2014-12-31,18.44,18.68,18.31,18.47,58900,18.47
2014-12-30,18.62,18.62,18.17,18.32,4500,18.32
2014-12-29,18.62,19.24,18.20,18.38,73100,18.38
